,address,development_id,development_name,other_address0,other_address1,other_address2,other_address3,other_address4,programs
96,"55 Bunker Hill Street, Charlestown, MA 02129",103,Charlestown,,,,,,Public Housing - Federal Family
97,"784 Washington Street, Dorchester, MA 02124",104,Codman,,,,,,Public Housing - Federal Eld/Dis
98,"35 Fidelis Way, Brighton, MA 02135",105,Commonwealth,,,,,,Public Housing - Federal Family
99,"35 Fidelis Way, Brighton, MA 02135",106,Commonwealth Elderly,,,,,,Public Housing - Federal Eld/Dis
100,"101 Davison Street, Hyde Park, MA 02136",107,Davison,,,,,,Public Housing - Federal Eld/Dis
101,"199 H Street South, Boston, MA 02127",111,Foley,,,,,,Public Housing - Federal Eld/Dis
102,"91 Ames Street, Dorchester, MA 02124",112,Franklin Field Family,,,,,,Public Housing - Federal Family
103,"91 Ames Street, Dorchester, MA 02124",113,Franklin Field Elderly,,,,,,Public Housing - State Eld/Dis
104,"91 Ames Street, Dorchester, MA 02124",114,Franklin Field Family - State,,,,,,Public Housing - State Family
105,"755 Tremont Street, Roxbury, MA 02118",115,Frederick Douglass,,,,,,Public Housing - Federal Eld/Dis
106,"115 Standard Street, Mattapan, MA 02126",116,Gallivan Boulevard,,,,,,Public Housing - State Family
107,"114 Rutherford Ave, Charlestown, MA 02129",117,General Warren,,,,,,Public Housing - Federal Eld/Dis
108,"15 Mary Moore Beatty Circle, Mattapan, MA 02126",118,Groveland,,,,,,Public Housing - Federal Eld/Dis
109,"155 Hampton House, Roxbury, MA 02118",119,Hampton House,,,,,,Public Housing - Federal Eld/Dis
110,"705 River Street, Mattapan, MA 02126",120,Hassan,,,,,,Public Housing - Federal Eld/Dis
111,"30 Bickford Street, Jamaica Plain, MA 02130",121,Heath Street,,,,,,Public Housing - Federal Family
112,"50-68 Highland Ave, Roxbury, MA 02119",122,Highland Park ,,,,,,Public Housing - Federal Family
113,"129 Elm Hill Ave, Roxbury, MA 02119",123,Holgate,,,,,,Public Housing - Federal Eld/Dis
114,"130 Chestnut Hill Ave, Brighton, MA 02135",124,JJ Carroll ,,,,,,Public Housing - Federal Eld/Dis
115,"5 Melville Ave, Dorchester, MA 02124",125,JJ Meade,,,,,,Public Housing - Federal Eld/Dis
116,"136 Lenox Street, Boston, MA 02118",126,Lenox,,,,,,Public Housing - Federal Family
117,"11 Gordon Ave, Hyde Park, MA 02136",127,Malone,,,,,,Public Housing - Federal Eld/Dis
118,"10 Kemp Street, South Boston, MA 02127",128,Mary Ellen McCormack,,,,,,Public Housing - Federal Family
119,"280 MLK Jr. Blvd, Roxbury, MA 02119",129,MLK,,,,,,Public Housing - Federal Eld/Dis
120,"120 L Street, South Boston, MA 02127",130,Msgr Powers,,,,,,Public Housing - State Eld/Dis
121,"265 East 9th Street, South Boston, MA 02127",131,Old Colony,,,,,,Public Housing - Federal Family
122,"38 Vallar Road, East Boston, MA 02128",132,Orient Heights,,,,,,Public Housing - State Family
123,"330 Bowdoin Street, Dorchester, MA 02122",133,Pasciucco,,,,,,Public Housing - Federal Eld/Dis
124,"20 Washington Street, Brighton, MA 02135",134,Patricia White,,,,,,Public Housing - Federal Eld/Dis
125,"1875 Dorchester Ave, Dorchester, MA 02122",135,Peabody/Englewood,,,,,,Public Housing - Federal Eld/Dis
126,"5300 Washington Street, West Roxbury, MA 02132",136,Rockland,,,,,,Public Housing - Federal Eld/Dis
127,"1 Cliffmont Street, Roslindale, MA 02131",137,Roslyn,,,,,,Public Housing - Federal Eld/Dis
128,"94 West Newton Street, Boston, MA 02118",138,Rutland/East Springfield,,,,,,Public Housing - Federal Family
129,"15 St. Rose Street #644, Jamaica Plain, MA 02130",139,South Street,,,,,,Public Housing - State Family
130,"23 Spring Street, West Roxbury, MA 02132",140,Spring Street,,,,,,Public Housing - Federal Eld/Dis
131,"70 St. Botolph Street, Boston, MA 02116",141,St. Botolph,,,,,,Public Housing - Federal Eld/Dis
132,"80 West Dedham Street, Boston, MA 02118",142,Torre Unidad,,,,,,Public Housing - Federal Eld/Dis
133,"1701 Washington Street, Roxbury, MA 02118",143,Washington Manor,,,,,,Public Housing - Federal Eld/Dis
134,"91-95 Washington Street, Brighton, MA  02135",144,91-95 Washington Street ,,,,,,Public Housing - Federal Eld/Dis
135,"195 West 9th Street, South Boston, MA 02127",145,West 9th Street,,,,,,Public Housing - Federal Eld/Dis
136,"81 Orton Marotta Way, South Boston, MA 02127",146,West Broadway,,,,,,Public Housing - State Family
137,"94 West Newton Street, Boston, MA 02118",147,West Newton,,,,,,Public Housing - Federal Family
138,"1158 Tremont Street, Roxbury, MA 02119",148,Whittier Street,,,,,,Public Housing - Federal Family
139,"73 Crowley Rogers Way, South Boston, MA 02127",149,West Broadway Homes,,,,,,Public Housing - Tax Cred
140,"43 Smith Street, Boston, MA  02120",150,Mission Main ,,,,,,Leased Housing - MRVP
141,"25 Ambrose Street, Roxbury, MA 02119",151,Orchard Gardens,,,,,,Public Housing - Tax Cred
142,"1285 Commonwealth Ave Suite B,  Allston, MA 02134",152,Long-Glen Rental/Ray Dooley Apartments,,,,,,Public Housing - Tax Cred
143,"31 Liverpool Street, East Boston, MA 02128",153,Maverick Landing,,,,,,Public Housing - Tax Cred
144,"1990 Columbus Ave, Roxbury, MA 02119",154,Walnut Park,,,,,,Public Housing - Federal Eld/Dis
145,"29 Pond Street, Jamaica Plain, MA 02130",155,Pond Street,,,,,,Public Housing - Federal Eld/Dis
146,"544, 706, 708 Washington Street, Dorchester, MA 02124",156,Codman Square,"7 Capen Street , Dorchester, MA 02124","115-116 Maxwell Street , Dorchester, MA 02124","24 Crowell Street, Dorchester, MA 02124",,,Leased Housing - Mod Rehab Family
147,"5,15 Fessenden Street, Mattapan, MA 02126",160,Fessenden Street Apartments (Family) ,,,,,,Leased Housing - Mod Rehab Family
148," 7, 9, 11, 15, 17 & 56 Delle Ave, Boston, MA 02120",164,Frawley Delle Apartments,,,,,,Leased Housing - Mod Rehab Family
149," 77-87 Fayston Street, Boston, MA  02119",166,Lawrenceville Scattered Sites,"41, 128-130 Intervale Street, Boston, MA 02119","40-42, 105-111 Lawrence Ave, Boston, MA 02119","35-39 Mt. Pleasant Ave, Boston, MA 02119","46 Vine Street, Boston, MA 02119","21-24 Greenville Street, Boston, MA 02119",Leased Housing - Mod Rehab Family
150,"37 Roxbury Street, Roxbury, MA 02119",174,Sargent Prince ,"43, 45, 51 Roxbury Street, Roxbury, MA 02119","804 A, 804 B Shawmut Ave, Roxbury MA 02119",,,,Leased Housing - Mod Rehab Family
151,"2029-2035 Columbus Ave, Boston, MA 02119  ",176,Washington Park ,25 Wyoming Street Boston MA 02121,185 Walnut Street Boston MA 02122,,,,Leased Housing - Mod Rehab Family
152,"77 Kingsdale Street, Boston, MA 02124",179,Boston Hope,,,,,,Leased Housing - PBV Family
153,"88-89 Nightingale Street, Boston, MA 02124",180,Boston Hope (PBV),"71-77 Kingsdale Street,Boston M.A 02124",,,,,Leased Housing - PBV Eld/Dis
154,"127 Condor Street, East Boston, MA 02128",183,Condor-Havre Garden Apts,"129 Havre Street East Boston, MA 02128",,,,,Leased Housing - PBV Family
155,"3091 Washington Street, Boston, MA 02119",185,Egleston Crossing (PBV),,,,,,Leased Housing - PBV Eld/Dis
156,"1 Shandon Road, Dorchester, MA 02124",186,Franklin Hill (PBV),,,,,,Leased Housing - PBV Family
157,"436 Harvard Street, Dorchester, MA 02116",187,Harvard Hill Apartments,"60-70 Hazelton Street , Dorchester, MA 02116",,,,,Leased Housing - PBV Family
158,"2262 Dorchester Ave, Dorchester, MA 02124",189,Lower Mills (PBV),,,,,,Leased Housing - PBV Eld/Dis
159,"25-27, 35, 84 Dacia Street, Boston, MA 02125",191,Howard Dacia,"18 Dewey Street,","9,15 Dalkeith stret,",155 Howard Ave,,,Leased Housing - PBV Family
160," 121-141 Lucerne Street, Dorchester, MA 02124",195,Lucerne Gardens,"56 Winston Road, Dorchester MA 02124",,,,,Leased Housing - PBV Family
161," 3-8 Nazing Court, Dorchester, MA  02121  ",197,Nazing Court,"224 Seaver Street, Dorchester, MA 02121",,,,,Leased Housing - PBV Family
162,"888 Washington Street, Boston, MA 02111",199,Oak Terrace,,,,,,Leased Housing - PBV Family
163,"37, 43 Sandpiper Lane, Dorchester, MA 02124 ",200,Olmsted Green  Rental III,"6,18,34,36,68,76 Osprey Way, Dorchester, MA 02124",,,,,Leased Housing - PBV Family
164," 26, 46 & 50 Norwell Street, Dorchester, MA 02121",204,Trinity Terrace ,"3, 19, 21 Trinity Terrace, Dorchester, MA 02125","237 Washington Street, Dorchester, MA 02125",,,,Leased Housing - PBV Family
165,"237-241 Walnut Ave, Roxbury, MA 02119",207,Walnut House (PBV),,,,,,Leased Housing - PBV Eld/Dis
166,"71 Westland Street, Boston, MA 02115",216,Westland/Burbank,64-70 Burbank Street Boston MA 02115,,,,,Leased Housing - PBV Family
167,"40-42 Upton Street, Boston, MA 02118",217,40 Upton Street,,,,,,Leased Housing - PBV Family
168,"34 Algonquin Street, Dorchester, MA  02124",218,Algonquin (PBV),,,,,,Leased Housing - PBV Eld/Dis
169,"40-42 Ashford Street, Allston, MA 02134",219,Ashford Street Lodging,,,,,,Leased Housing - PBV Eld/Dis
170,"440 Tremont Street, Boston, MA 02116",220,Eva White,,,,,,Public Housing - Federal Eld/Dis
171,"43 Bow Street, Hyde Park, MA 02136",221,Fairmount,,,,,,Public Housing - State Family
172,"266 North Beacon Street, Brighton, MA 02135",222,Faneuil Gardens,,,,,,Public Housing - State Family
173,"1740 Washington Street,  Boston, MA 02118",223,Washington Street (PBV),,,,,,Leased Housing - PBV Eld/Dis
